trial,_left_canvas,_right_canvas,times,Unnamed: 4
6,1,0,0,
6,0,0,35,
6,0,0,68,
6,1,0,99,
6,1,0,124,
6,1,0,156,
6,1,0,190,
6,1,0,224,
6,0,0,254,
6,0,0,283,
6,1,0,316,
6,1,0,351,
6,1,0,383,
6,1,0,417,
6,1,0,451,
6,1,0,476,
6,1,0,505,
6,1,0,535,
6,1,0,568,
6,1,0,602,
6,1,0,627,
6,1,0,660,
6,1,0,690,
6,0,1,719,
6,0,1,753,
6,0,1,785,
6,0,0,818,
6,0,0,851,
6,0,1,886,
6,0,1,918,
6,0,0,943,
6,1,0,969,
6,1,0,1002,
6,1,0,1037,
6,1,0,1069,
6,1,0,1102,
6,1,0,1135,
6,1,0,1160,
6,1,0,1185,
6,1,0,1219,
6,1,0,1252,
6,1,0,1277,
6,1,0,1304,
6,1,0,1334,
6,1,0,1358,
6,1,0,1384,
6,1,0,1419,
6,1,0,1442,
6,0,0,1468,
6,1,0,1501,
6,1,0,1527,
6,0,0,1552,
6,1,0,1586,
6,1,0,1618,
6,1,0,1652,
6,1,0,1684,
6,1,0,1710,
6,1,0,1747,
6,1,0,1773,
6,1,0,1804,
6,1,0,1834,
6,1,0,1867,
6,1,0,1892,
6,1,0,1917,
6,0,0,1943,
6,1,0,1974,
6,1,0,2002,
6,1,0,2035,
6,1,0,2068,
6,1,0,2101,
6,1,0,2134,
6,1,0,2167,
7,0,1,0,
7,0,1,34,
7,0,1,67,
7,0,0,100,
7,0,1,136,
7,1,0,168,
7,0,1,200,
7,0,0,234,
7,1,0,267,
7,1,0,300,
7,1,0,334,
7,0,1,367,
7,0,1,401,
7,0,0,434,
7,0,1,467,
7,0,1,500,
7,0,0,534,
7,1,0,567,
7,1,0,601,
7,1,0,634,
7,0,0,668,
7,0,0,702,
7,1,0,725,
7,1,0,757,
7,0,1,788,
7,0,0,819,
7,1,0,851,
7,1,0,875,
7,1,0,905,
7,0,1,935,
7,0,1,969,
7,0,1,1002,
7,0,1,1035,
7,0,1,1069,
7,0,1,1103,
7,0,1,1136,
