trial,_right_canvas,times,_left_canvas,Unnamed: 4
9,1,0,0,
9,1,34,0,
9,1,66,0,
9,1,100,0,
9,1,125,0,
9,1,156,0,
9,0,183,0,
9,1,208,0,
9,1,237,0,
9,0,266,0,
9,0,301,1,
9,0,333,1,
9,1,366,0,
9,0,400,0,
9,0,433,0,
9,1,466,0,
9,1,500,0,
9,0,533,0,
9,0,558,1,
9,0,586,1,
9,0,616,1,
9,0,642,1,
9,0,671,1,
9,0,700,1,
9,0,733,1,
9,0,766,1,
9,0,791,1,
9,0,818,1,
9,0,850,1,
9,0,883,1,
9,0,908,1,
9,0,936,1,
9,0,969,1,
9,0,1002,0,
9,0,1034,1,
9,0,1068,1,
9,0,1102,1,
9,0,1135,1,
9,0,1169,1,
9,0,1202,1,
9,0,1236,1,
9,0,1269,1,
9,0,1303,1,
9,0,1344,1,
9,0,1375,1,
9,0,1403,1,
9,0,1436,1,
9,0,1469,1,
9,0,1502,1,
9,0,1535,0,
9,0,1568,1,
9,0,1602,1,
9,0,1635,1,
9,1,1669,0,
9,1,1702,0,
9,0,1736,1,
9,1,1769,0,
9,0,1803,0,
9,1,1829,0,
9,1,1860,0,
9,0,1890,0,
9,1,1919,0,
9,1,1945,0,
9,1,1972,0,
9,0,2005,1,
9,0,2037,1,
9,0,2070,1,
9,1,2103,0,
9,1,2128,0,
9,1,2156,0,
9,0,2188,1,
9,0,2221,1,
9,0,2246,0,
9,0,2275,0,
9,1,2304,0,
9,1,2338,0,
9,1,2371,0,
9,0,2404,1,
9,0,2437,1,
9,0,2462,1,
9,0,2494,1,
9,0,2522,1,
9,0,2547,1,
9,0,2576,1,
9,0,2604,1,
9,0,2638,1,
9,0,2671,0,
9,0,2705,1,
9,0,2738,1,
9,0,2772,1,
9,0,2805,1,
9,0,2839,1,
9,0,2872,1,
9,0,2897,1,
9,0,2926,0,
9,0,2958,1,
9,0,2991,0,
9,0,3023,0,
9,0,3057,1,
9,0,3091,1,
9,1,3124,0,
9,1,3157,0,
9,1,3190,0,
9,1,3223,0,
9,1,3256,0,
9,1,3290,0,
9,1,3324,0,
9,1,3357,0,
9,1,3391,0,
9,1,3424,0,
9,1,3449,0,
9,1,3475,0,
9,1,3506,0,
9,1,3531,0,
9,1,3556,0,
9,1,3581,0,
9,1,3606,0,
9,1,3632,0,
9,1,3658,0,
9,1,3707,0,
9,1,3739,0,
9,1,3773,0,
9,1,3807,0,
9,1,3832,0,
9,1,3861,0,
9,1,3890,0,
9,1,3915,0,
9,1,3940,0,
9,1,3973,0,
9,1,4007,0,
9,1,4040,0,
9,1,4065,0,
9,0,4092,0,
9,0,4124,0,
9,1,4157,0,
9,1,4181,0,
9,1,4208,0,
9,0,4239,0,
9,0,4264,1,
9,1,4291,0,
10,0,0,0,
10,0,32,0,
10,1,57,0,
10,1,82,0,
10,0,115,0,
10,0,140,1,
10,0,169,0,
10,0,198,1,
10,1,231,0,
10,0,264,1,
10,0,289,1,
10,0,315,0,
10,0,347,0,
10,1,381,0,
10,1,414,0,
10,1,447,0,
10,1,472,0,
10,1,510,0,
10,1,536,0,
10,1,565,0,
10,1,597,0,
10,1,632,0,
10,1,665,0,
10,1,698,0,
10,1,723,0,
10,1,754,0,
10,1,784,0,
10,1,817,0,
10,1,848,0,
