trial,_right_canvas,_left_canvas,times,Unnamed: 4
6,1,0,0,
6,0,0,2859,
6,0,0,2894,
6,0,1,2919,
6,0,0,2946,
6,1,0,2974,
6,1,0,2999,
6,0,1,2834,
6,0,0,3028,
6,1,0,3091,
6,1,0,3124,
6,0,1,3157,
6,0,1,3190,
6,0,1,3224,
6,0,0,3258,
6,0,0,3057,
6,1,0,3292,
6,0,1,2808,
6,0,0,2741,
6,0,1,2339,
6,0,1,2364,
6,0,1,2389,
6,0,1,2413,
6,0,1,2441,
6,0,1,2473,
6,0,1,2774,
6,0,1,2498,
6,0,1,2548,
6,0,1,2576,
6,0,1,2607,
6,0,1,2632,
6,0,1,2658,
6,1,0,2690,
6,0,1,2524,
6,0,1,2313,
6,0,1,3324,
6,1,0,3390,
6,0,0,4007,
6,1,0,4040,
6,1,0,4065,
6,1,0,4095,
6,1,0,4127,
6,1,0,4157,
6,0,1,3973,
6,0,1,4191,
6,0,1,4257,
6,0,1,4291,
6,0,1,4324,
6,0,1,4350,
6,0,1,4380,
6,0,1,4407,
6,0,0,4224,
6,0,1,3358,
6,1,0,3940,
6,0,0,3881,
6,0,0,3427,
6,0,1,3462,
6,0,1,3492,
6,0,1,3524,
6,0,1,3557,
6,0,1,3594,
6,1,0,3910,
6,0,1,3624,
6,0,1,3691,
6,0,1,3724,
6,0,1,3757,
6,0,1,3790,
6,0,1,3824,
6,0,0,3857,
6,0,1,3658,
6,0,1,2289,
6,1,0,2714,
6,0,1,2223,
6,0,0,668,
6,0,0,701,
6,0,0,726,
6,0,0,757,
6,0,0,788,
6,0,0,819,
6,0,1,2255,
6,0,0,852,
6,0,1,919,
6,0,1,952,
6,0,1,985,
6,0,1,1011,
6,0,1,1038,
6,0,1,1075,
6,0,1,886,
6,0,0,602,
6,1,0,568,
6,0,1,535,
6,1,0,35,
6,1,0,67,
6,1,0,100,
6,1,0,134,
6,1,0,167,
6,0,1,203,
6,0,1,235,
6,0,1,268,
6,0,1,300,
6,0,0,334,
6,0,1,368,
6,0,0,401,
6,0,1,435,
6,1,0,468,
6,0,0,501,
6,0,1,1107,
6,0,1,1137,
6,0,0,635,
6,0,1,1203,
6,0,1,1797,
6,0,0,1823,
6,0,0,1853,
6,0,0,1887,
6,0,1,1954,
6,0,1,1988,
6,0,1,1770,
6,0,1,2021,
6,0,1,2078,
6,0,1,2104,
6,0,1,2128,
6,0,1,2155,
6,0,1,2189,
6,0,1,1169,
6,0,1,2054,
6,0,1,1738,
6,0,1,1921,
6,0,1,1269,
6,0,1,1236,
6,0,0,1706,
6,0,1,1303,
6,0,1,1336,
6,0,1,1369,
6,0,1,1437,
6,1,0,1469,
6,0,1,1403,
6,0,0,1528,
6,0,1,1554,
6,1,0,1586,
6,0,0,1620,
6,0,1,1653,
6,0,0,1679,
6,0,0,1502,
7,1,0,1596,
7,1,0,1438,
7,1,0,1571,
7,1,0,1541,
7,1,0,1504,
7,0,0,1470,
7,1,0,1404,
7,0,1,1177,
7,0,1,1338,
7,0,1,1296,
7,0,1,1271,
7,0,1,1238,
7,0,1,1207,
7,1,0,1626,
7,1,0,1371,
7,1,0,1655,
7,1,0,2193,
7,1,0,1710,
7,0,1,1147,
7,1,0,2162,
7,1,0,2136,
7,1,0,2104,
7,1,0,2070,
7,1,0,2037,
7,1,0,2005,
7,1,0,1973,
7,1,0,1937,
7,1,0,1905,
7,1,0,1870,
7,1,0,1837,
7,1,0,1804,
7,1,0,1772,
7,1,0,1737,
7,1,0,1686,
7,0,1,1121,
7,0,0,1003,
7,0,1,1061,
7,1,0,434,
7,1,0,404,
7,1,0,374,
7,1,0,349,
7,1,0,324,
7,1,0,299,
7,0,1,266,
7,0,1,234,
7,0,0,200,
7,0,1,167,
7,1,0,134,
7,0,0,68,
7,1,0,34,
7,1,0,0,
7,0,1,1093,
7,1,0,467,
7,1,0,501,
7,0,1,100,
7,1,0,568,
7,1,0,534,
7,0,0,970,
7,1,0,937,
7,0,1,909,
7,0,1,878,
7,1,0,852,
7,1,0,819,
7,0,1,1032,
7,1,0,752,
7,1,0,723,
7,1,0,693,
7,1,0,787,
7,1,0,668,
7,1,0,634,
7,1,0,600,
8,0,1,1234,
8,0,1,1201,
8,0,0,1168,
8,0,0,1135,
8,0,1,1051,
8,0,1,1084,
8,0,1,1267,
8,0,1,1017,
8,0,1,985,
8,0,1,950,
8,0,1,917,
8,0,1,1109,
8,0,1,1300,
8,0,0,1450,
8,0,0,1419,
8,0,0,1483,
8,0,0,1516,
8,0,0,1550,
8,0,1,1584,
8,0,1,1644,
8,0,1,1675,
8,0,1,1719,
8,0,0,1752,
8,0,1,1785,
8,0,1,1810,
8,0,1,886,
8,0,1,1389,
8,0,1,858,
8,0,1,1617,
8,0,1,799,
8,0,0,832,
8,0,1,0,
8,0,1,33,
8,0,1,66,
8,0,1,100,
8,0,1,169,
8,0,1,199,
8,0,1,232,
8,0,1,266,
8,0,0,300,
8,0,1,325,
8,0,1,351,
8,0,1,384,
8,0,1,133,
8,0,1,442,
8,0,1,766,
8,0,1,417,
8,0,1,734,
8,0,1,708,
8,0,1,651,
8,0,1,625,
8,0,1,683,
8,0,1,566,
8,0,1,541,
8,0,1,516,
8,0,1,491,
8,0,1,467,
8,0,0,600,
7,0,1,3356,
7,0,0,3509,
7,0,0,3390,
7,0,1,3423,
7,0,1,3448,
7,0,0,3479,
7,0,1,3541,
7,0,1,3774,
7,0,1,3608,
7,0,1,3641,
7,0,0,3675,
7,0,0,3707,
7,0,1,3741,
7,0,1,3800,
7,0,1,3830,
7,0,1,3323,
7,0,1,3575,
7,0,0,3291,
7,1,0,2823,
7,0,0,3223,
7,0,0,2656,
7,1,0,2689,
7,1,0,2725,
7,1,0,2758,
7,1,0,2789,
7,0,0,3860,
7,1,0,2856,
7,1,0,2890,
7,1,0,2923,
7,1,0,2957,
7,1,0,2990,
7,0,1,3014,
7,0,1,3039,
7,0,1,3073,
7,0,1,3098,
7,0,1,3156,
7,0,0,3190,
7,0,0,3257,
7,0,0,3894,
7,0,1,4343,
7,0,0,3957,
7,0,1,4678,
7,1,0,4709,
7,1,0,4736,
7,1,0,4765,
7,1,0,4794,
7,0,1,4827,
7,0,1,4860,
7,0,1,4652,
7,0,1,4885,
7,0,1,4944,
7,0,1,4976,
7,0,1,5002,
7,0,1,5027,
7,0,1,5059,
7,0,1,5093,
7,1,0,2623,
7,0,1,4911,
7,0,1,4627,
7,0,1,4602,
7,0,0,4577,
7,0,1,3983,
7,0,0,4010,
7,0,0,4041,
7,0,0,4074,
7,0,0,4108,
7,0,0,4142,
7,0,1,4175,
7,0,1,4208,
7,0,1,4242,
7,0,0,4276,
7,0,0,4310,
7,0,1,4376,
7,0,1,4409,
7,0,0,4443,
7,0,1,4476,
7,0,1,4510,
7,0,0,4544,
7,0,0,3924,
7,1,0,2589,
7,0,1,3126,
7,1,0,2523,
7,0,0,687,
7,0,1,710,
7,0,0,744,
