trial,_left_canvas,_right_canvas,times,Unnamed: 4
6,0,0,0,
6,0,1,32,
6,0,0,65,
6,0,1,100,
6,0,0,132,
6,0,1,165,
6,0,0,198,
6,0,0,231,
6,0,0,265,
6,0,0,298,
6,0,1,331,
6,1,0,364,
6,0,0,389,
6,1,0,419,
6,1,0,450,
6,1,0,480,
6,1,0,513,
6,1,0,546,
6,1,0,579,
6,1,0,612,
6,1,0,646,
6,1,0,680,
6,1,0,715,
6,1,0,746,
6,1,0,780,
6,1,0,812,
6,1,0,845,
6,1,0,879,
6,1,0,913,
6,1,0,947,
6,1,0,981,
6,1,0,1014,
6,1,0,1047,
6,1,0,1080,
6,1,0,1114,
6,1,0,1146,
6,1,0,1180,
6,1,0,1213,
6,1,0,1246,
6,1,0,1279,
6,1,0,1313,
6,1,0,1346,
6,1,0,1379,
6,1,0,1413,
6,1,0,1446,
7,0,1,0,
7,0,0,28,
7,0,1,59,
7,0,1,89,
7,0,0,119,
7,0,1,151,
7,0,0,187,
7,0,1,218,
7,0,1,252,
7,0,1,285,
7,0,1,310,
7,1,0,337,
7,1,0,368,
7,1,0,393,
7,1,0,417,
7,1,0,452,
7,1,0,485,
7,1,0,510,
7,0,1,536,
7,0,1,568,
7,0,1,595,
7,0,1,623,
7,0,1,654,
7,0,1,685,
7,0,1,710,
7,0,1,740,
7,0,1,768,
7,0,1,792,
7,0,1,819,
7,0,1,845,
7,0,1,872,
7,0,1,902,
7,0,1,930,
7,0,1,958,
7,0,1,986,
7,0,1,1021,
7,0,1,1053,
7,0,1,1086,
7,0,1,1120,
7,0,1,1153,
7,0,1,1186,
7,0,1,1211,
7,0,1,1237,
7,0,1,1270,
7,0,1,1302,
7,0,1,1336,
7,0,1,1371,
7,0,1,1404,
7,0,1,1437,
7,0,1,1470,
7,0,1,1496,
7,0,1,1526,
7,0,1,1564,
7,0,1,1592,
7,0,1,1622,
7,0,0,1654,
7,1,0,1689,
7,0,0,1723,
7,1,0,1754,
7,1,0,1787,
7,0,0,1812,
7,0,1,1842,
7,0,1,1872,
7,0,1,1904,
7,0,0,1937,
7,0,1,1970,
7,0,1,2007,
7,0,0,2039,
7,0,0,2070,
7,0,1,2102,
7,0,0,2137,
8,0,0,0,
8,1,0,29,
8,1,0,56,
8,1,0,84,
8,1,0,113,
8,0,1,147,
8,0,1,180,
8,0,1,214,
8,0,1,246,
8,0,1,271,
8,0,0,301,
8,1,0,330,
8,1,0,363,
8,1,0,396,
8,1,0,430,
8,1,0,458,
8,1,0,488,
8,1,0,518,
8,1,0,548,
8,1,0,581,
8,1,0,613,
8,1,0,639,
8,1,0,671,
8,1,0,701,
8,1,0,732,
8,1,0,763,
8,1,0,797,
8,1,0,823,
8,1,0,851,
8,1,0,883,
8,1,0,916,
8,1,0,948,
