trial,_left_canvas,_right_canvas,times,Unnamed: 4
6,1,0,0,
6,1,0,73,
6,0,1,148,
6,1,0,213,
6,0,1,281,
6,0,0,350,
6,0,0,419,
6,1,0,502,
6,1,0,586,
6,1,0,675,
6,1,0,755,
6,1,0,835,
6,1,0,916,
6,1,0,999,
6,1,0,1083,
6,1,0,1154,
6,1,0,1229,
7,0,1,0,
7,0,1,95,
7,0,1,169,
7,0,1,241,
7,0,1,315,
7,1,0,388,
7,0,1,451,
7,0,1,518,
7,0,1,588,
7,0,1,667,
7,0,1,760,
7,0,1,842,
7,0,1,923,
7,0,1,1000,
7,0,1,1107,
7,0,1,1175,
7,0,1,1258,
7,0,1,1334,
8,1,0,0,
8,1,0,66,
8,1,0,148,
8,1,0,217,
8,1,0,288,
8,1,0,358,
8,1,0,431,
8,1,0,511,
8,1,0,599,
8,1,0,682,
8,1,0,785,
8,1,0,865,
8,1,0,945,
8,1,0,1018,
8,1,0,1102,
8,1,0,1192,
10,0,1,0,
10,1,0,73,
10,1,0,174,
10,1,0,262,
10,0,0,331,
10,0,1,397,
10,0,1,473,
10,0,0,570,
10,0,1,657,
10,0,1,737,
10,0,1,811,
10,0,1,882,
11,0,1,0,
11,0,1,162,
11,0,0,306,
11,1,0,462,
11,0,1,604,
11,0,1,709,
12,1,0,0,
12,1,0,95,
12,0,0,161,
12,1,0,230,
12,1,0,301,
12,1,0,375,
12,1,0,442,
12,1,0,513,
12,1,0,594,
12,1,0,684,
12,1,0,759,
12,1,0,829,
12,1,0,912,
12,1,0,1005,
12,1,0,1089,
12,1,0,1157,
12,1,0,1234,
13,1,0,0,
13,1,0,89,
13,1,0,186,
13,1,0,262,
13,1,0,334,
13,1,0,400,
13,1,0,468,
13,1,0,535,
13,0,1,602,
13,0,1,680,
13,0,1,816,
13,0,1,914,
13,0,1,985,
13,0,1,1060,
14,1,0,0,
14,1,0,75,
14,1,0,187,
14,0,1,282,
14,1,0,356,
14,1,0,422,
14,1,0,492,
14,0,1,564,
14,0,1,631,
14,0,1,697,
14,0,1,765,
14,0,1,841,
14,0,1,927,
14,0,1,1012,
14,0,1,1083,
14,0,1,1156,
15,0,0,0,
15,0,1,100,
15,0,1,175,
15,0,1,248,
15,0,1,311,
15,1,0,378,
15,1,0,456,
15,1,0,532,
15,1,0,641,
15,1,0,729,
15,1,0,796,
15,1,0,862,
15,1,0,927,
15,1,0,1001,
16,1,0,0,
16,0,0,85,
16,1,0,158,
16,1,0,271,
16,1,0,344,
16,1,0,416,
16,0,1,486,
16,0,1,553,
16,0,1,621,
16,0,1,696,
16,0,1,788,
16,0,1,881,
16,0,1,954,
16,0,1,1024,
16,0,1,1108,
17,0,0,0,
17,0,1,100,
17,0,1,178,
17,0,0,264,
17,0,1,345,
17,0,1,427,
17,0,1,504,
17,0,1,574,
17,0,1,648,
17,0,1,729,
17,0,1,818,
18,0,0,0,
18,0,1,101,
18,0,1,172,
18,1,0,253,
18,1,0,324,
18,0,0,390,
18,0,1,461,
18,0,1,533,
18,0,1,609,
18,0,1,685,
18,0,1,756,
18,0,1,825,
18,0,1,891,
18,0,1,957,
18,0,1,1027,
18,0,1,1100,
18,0,1,1191,
19,0,1,0,
19,0,1,96,
19,0,1,176,
19,0,1,255,
19,1,0,324,
19,1,0,392,
19,1,0,462,
19,1,0,539,
19,1,0,629,
19,1,0,711,
19,1,0,792,
19,1,0,868,
19,1,0,948,
19,1,0,1035,
19,1,0,1115,
19,1,0,1194,
19,1,0,1273,
19,1,0,1349,
20,1,0,0,
20,0,1,87,
20,0,1,175,
20,1,0,258,
20,0,1,344,
20,0,1,423,
20,1,0,502,
20,1,0,587,
20,1,0,667,
20,1,0,731,
20,1,0,796,
20,1,0,870,
20,1,0,945,
20,1,0,1010,
20,1,0,1086,
21,0,1,0,
21,0,1,103,
21,0,1,169,
21,0,1,237,
21,0,1,300,
21,0,0,372,
21,1,0,445,
21,1,0,517,
21,1,0,584,
21,1,0,654,
21,1,0,756,
21,1,0,837,
21,1,0,916,
21,1,0,984,
21,1,0,1058,
22,0,0,0,
22,0,0,66,
22,0,1,158,
22,0,1,231,
22,0,1,301,
22,1,0,378,
22,0,1,453,
22,1,0,526,
22,1,0,603,
22,0,1,678,
22,0,1,752,
22,0,1,842,
22,0,1,919,
22,0,1,982,
22,0,1,1052,
22,0,1,1124,
22,0,1,1195,
22,0,1,1261,
22,0,1,1349,
23,0,1,0,
23,0,1,74,
23,0,1,142,
23,0,1,213,
23,0,1,279,
23,0,1,355,
23,1,0,425,
23,1,0,625,
23,1,0,756,
23,1,0,835,
23,1,0,914,
23,1,0,1019,
24,0,1,0,
24,1,0,93,
24,0,1,163,
24,0,1,232,
24,0,0,302,
24,0,1,372,
24,0,1,452,
24,0,1,525,
24,0,1,590,
24,0,1,656,
24,0,1,740,
24,0,1,847,
24,0,1,930,
24,0,1,997,
24,0,1,1064,
24,0,1,1135,
24,0,1,1213,
24,0,1,1285,
24,0,1,1364,
25,0,1,0,
25,0,0,95,
25,0,1,160,
25,0,1,229,
25,0,1,297,
25,0,1,369,
25,0,1,437,
25,0,1,504,
25,0,1,573,
25,0,1,641,
25,0,1,709,
25,0,1,786,
25,0,1,863,
26,1,0,0,
26,0,0,102,
26,0,1,167,
26,1,0,235,
26,0,1,306,
26,1,0,373,
26,1,0,445,
26,1,0,511,
26,0,1,579,
26,0,1,645,
26,0,1,713,
26,0,1,796,
26,0,1,887,
26,0,1,976,
26,0,1,1063,
26,0,1,1130,
26,0,1,1201,
26,0,1,1269,
27,1,0,0,
27,0,0,104,
27,0,0,177,
27,1,0,267,
27,0,0,371,
27,0,1,449,
27,0,1,521,
27,0,1,601,
27,0,1,690,
27,0,1,778,
27,0,1,854,
27,0,1,931,
27,0,1,1008,
28,1,0,0,
28,1,0,69,
28,1,0,169,
28,1,0,246,
28,0,0,339,
28,0,1,416,
28,0,1,484,
28,0,1,553,
28,0,1,624,
28,0,1,702,
28,0,1,782,
28,0,1,856,
28,0,1,949,
28,0,1,1034,
28,0,1,1114,
29,1,0,0,
29,0,0,94,
29,0,0,163,
29,1,0,255,
29,1,0,333,
29,1,0,402,
29,1,0,471,
29,1,0,546,
29,1,0,614,
29,1,0,686,
29,1,0,776,
29,1,0,871,
29,1,0,964,
29,1,0,1053,
29,1,0,1185,
29,1,0,1282,
29,1,0,1354,
29,1,0,1422,
29,1,0,1507,
29,1,0,1597,
29,1,0,1680,
29,1,0,1753,
29,1,0,1834,
30,1,0,0,
30,1,0,97,
30,1,0,165,
30,1,0,233,
30,1,0,299,
30,1,0,367,
30,1,0,436,
30,0,1,506,
30,0,1,576,
30,0,1,655,
30,0,1,744,
30,0,1,825,
30,0,1,908,
30,0,1,993,
30,0,1,1061,
30,0,1,1123,
30,0,1,1191,
30,0,1,1329,
30,0,1,1458,
30,0,1,1548,
30,0,1,1616,
31,1,0,0,
31,1,0,106,
31,1,0,171,
31,0,1,240,
31,1,0,304,
31,0,1,372,
31,0,1,442,
31,0,1,510,
31,0,1,579,
31,0,1,650,
31,0,1,719,
31,1,0,788,
31,1,0,1092,
31,0,1,1273,
31,0,1,1431,
31,0,0,1512,
31,0,0,1581,
31,0,1,1650,
31,0,1,1718,
31,0,1,1786,
31,0,1,1849,
31,1,0,1913,
31,1,0,1981,
31,1,0,2060,
31,1,0,2136,
31,1,0,2205,
31,1,0,2276,
31,0,0,2351,
31,0,1,2443,
32,0,0,0,
32,0,0,71,
32,0,0,149,
32,1,0,219,
32,0,1,288,
32,0,1,366,
32,0,1,433,
32,0,1,500,
32,0,1,567,
32,0,1,634,
32,0,1,705,
32,0,1,840,
32,0,1,932,
33,0,0,0,
33,1,0,94,
33,1,0,163,
33,0,0,232,
33,1,0,301,
33,0,1,373,
33,1,0,453,
33,1,0,541,
33,1,0,629,
33,0,0,710,
33,1,0,797,
33,0,0,880,
33,0,0,946,
33,0,0,1016,
33,1,0,1090,
33,0,0,1162,
33,1,0,1241,
34,1,0,0,
34,0,1,93,
34,0,1,201,
34,0,0,297,
34,1,0,366,
34,0,1,434,
34,0,1,499,
34,1,0,573,
34,1,0,645,
34,1,0,719,
34,1,0,802,
34,1,0,892,
34,1,0,977,
34,1,0,1058,
34,1,0,1133,
34,1,0,1199,
34,1,0,1266,
34,1,0,1343,
34,1,0,1448,
35,1,0,0,
35,1,0,102,
35,1,0,179,
35,0,0,271,
35,1,0,367,
35,1,0,449,
35,1,0,516,
35,1,0,584,
35,1,0,664,
35,1,0,728,
35,1,0,800,
35,1,0,876,
35,1,0,952,
35,1,0,1023,
35,1,0,1103,
35,0,0,1172,
35,1,0,1247,
35,1,0,1343,
35,1,0,1466,
35,1,0,1566,
36,0,0,0,
36,0,1,93,
36,0,1,162,
36,0,1,232,
36,0,1,301,
36,1,0,372,
36,1,0,456,
36,1,0,528,
36,1,0,596,
36,1,0,673,
36,1,0,777,
36,1,0,857,
36,1,0,946,
36,1,0,1018,
36,1,0,1084,
36,1,0,1151,
36,1,0,1221,
37,0,1,0,
37,0,1,91,
37,0,0,203,
37,0,0,282,
37,1,0,349,
37,0,0,420,
37,1,0,493,
37,1,0,578,
37,0,1,667,
37,0,1,749,
37,0,1,832,
37,0,1,913,
37,0,1,990,
37,0,1,1061,
37,0,1,1131,
37,0,1,1198,
37,0,1,1280,
38,0,1,0,
38,0,0,98,
38,0,0,169,
38,0,1,236,
38,0,1,306,
38,0,1,380,
38,0,1,447,
38,0,1,515,
38,0,1,586,
38,0,1,651,
38,0,1,718,
38,0,1,790,
38,0,1,863,
38,0,1,952,
39,1,0,0,
39,0,1,86,
39,0,0,165,
39,0,1,238,
39,0,1,307,
39,0,1,375,
39,1,0,445,
39,1,0,549,
39,1,0,641,
39,1,0,725,
39,1,0,811,
39,0,0,899,
39,1,0,975,
39,1,0,1049,
39,1,0,1119,
39,1,0,1187,
39,1,0,1250,
39,1,0,1329,
39,1,0,1411,
40,0,1,0,
40,0,1,100,
40,0,1,177,
40,0,1,244,
40,0,1,312,
40,0,1,379,
40,1,0,453,
40,1,0,529,
40,1,0,598,
40,1,0,662,
40,1,0,737,
40,1,0,829,
40,1,0,935,
40,1,0,1026,
40,1,0,1110,
40,1,0,1183,
40,1,0,1260,
40,1,0,1344,
41,0,0,0,
41,1,0,89,
41,0,1,161,
41,0,1,226,
41,0,1,299,
41,0,1,379,
41,0,1,447,
41,0,1,515,
41,0,1,590,
41,0,1,674,
41,0,1,763,
41,0,1,849,
41,0,1,927,
41,0,1,1003,
41,0,1,1072,
41,0,1,1141,
41,0,1,1208,
41,0,1,1290,
42,0,0,0,
42,0,1,98,
42,0,1,164,
42,0,1,234,
42,0,1,304,
42,0,1,371,
42,0,1,440,
42,0,1,509,
42,0,1,580,
42,0,1,652,
42,0,1,739,
42,0,1,817,
42,0,1,898,
42,0,1,1008,
42,0,1,1083,
42,0,1,1158,
42,0,0,1254,
43,0,0,0,
43,0,0,101,
43,0,1,167,
43,0,0,233,
43,0,1,303,
43,0,0,368,
43,0,1,434,
43,0,1,507,
43,0,1,571,
43,0,1,642,
43,0,1,714,
43,0,1,787,
43,0,1,874,
44,0,1,0,
44,0,1,86,
44,0,1,162,
44,0,1,240,
44,0,1,335,
44,0,1,417,
44,0,1,487,
44,0,1,556,
44,0,1,623,
44,0,1,690,
44,0,1,765,
44,0,1,837,
44,0,1,908,
44,0,1,973,
44,0,1,1079,
45,1,0,0,
45,0,0,75,
45,1,0,167,
45,0,1,233,
45,0,0,308,
45,0,1,377,
45,1,0,445,
45,0,1,517,
45,0,1,582,
45,0,1,649,
45,0,1,716,
45,0,1,785,
45,0,1,859,
45,0,1,932,
45,0,1,996,
45,0,1,1066,
45,0,0,1155,
46,0,1,0,
46,0,0,85,
46,1,0,159,
46,1,0,225,
46,1,0,298,
46,1,0,363,
46,0,0,429,
46,0,1,497,
46,0,1,562,
46,0,1,628,
46,0,1,696,
46,0,1,789,
46,0,1,877,
46,0,1,960,
46,0,1,1032,
46,0,1,1116,
46,0,1,1205,
46,0,1,1288,
46,0,1,1384,
46,0,1,1483,
47,0,1,0,
47,0,1,69,
47,0,1,174,
47,1,0,254,
47,1,0,324,
47,1,0,391,
47,0,1,465,
47,0,1,533,
47,0,1,601,
47,0,1,671,
47,0,1,736,
47,0,1,808,
47,0,1,887,
47,0,1,979,
48,0,1,0,
48,0,1,91,
48,0,0,159,
48,0,0,227,
48,0,1,298,
48,0,1,368,
48,0,1,436,
48,0,1,503,
48,0,1,572,
48,0,1,640,
48,0,1,710,
48,0,1,776,
48,0,1,850,
48,0,1,940,
49,1,0,0,
49,1,0,72,
49,0,0,162,
49,0,0,234,
49,0,1,303,
49,0,1,373,
49,0,1,438,
49,0,0,506,
49,0,1,575,
49,1,0,645,
49,1,0,714,
49,1,0,790,
49,1,0,857,
49,1,0,936,
49,1,0,1027,
49,1,0,1112,
49,1,0,1192,
49,1,0,1281,
49,1,0,1357,
49,1,0,1423,
49,1,0,1490,
49,1,0,1557,
49,1,0,1625,
49,1,0,1703,
49,1,0,1787,
