trial,_left_canvas,times,_right_canvas,Unnamed: 4
6,0,0,1,
6,0,34,1,
6,0,68,1,
6,0,100,1,
6,1,134,0,
6,0,167,1,
6,1,194,0,
6,0,222,0,
6,0,251,1,
6,0,285,1,
6,0,318,1,
6,0,353,1,
6,1,385,0,
6,1,418,0,
6,0,452,0,
6,1,486,0,
6,1,519,0,
6,1,552,0,
6,0,586,0,
6,0,613,0,
6,1,647,0,
6,0,675,0,
6,0,703,0,
6,0,737,0,
6,0,768,0,
6,1,799,0,
6,1,829,0,
6,0,862,0,
6,0,890,0,
6,1,922,0,
6,1,954,0,
6,1,980,0,
6,1,1013,0,
6,1,1040,0,
6,1,1073,0,
6,0,1103,0,
6,1,1137,0,
6,1,1171,0,
6,0,1203,0,
6,0,1239,0,
6,0,1276,0,
6,0,1307,1,
6,0,1339,1,
6,0,1371,1,
6,0,1403,1,
6,0,1437,1,
6,0,1471,0,
6,0,1503,1,
6,0,1537,0,
6,0,1570,1,
6,0,1604,1,
6,0,1637,1,
6,0,1671,1,
6,0,1704,0,
6,1,1731,0,
7,0,0,1,
7,0,34,1,
7,0,67,1,
7,0,101,1,
7,0,134,1,
7,0,170,1,
7,1,212,0,
7,0,243,1,
7,1,269,0,
7,0,302,1,
7,1,333,0,
7,0,359,1,
7,0,387,0,
7,0,418,1,
7,0,450,1,
7,0,483,0,
7,0,510,1,
7,0,543,1,
7,0,572,1,
7,0,603,1,
7,0,633,1,
7,0,667,1,
7,0,701,1,
7,0,734,1,
7,0,767,1,
7,0,794,1,
7,0,828,1,
7,0,861,1,
7,0,889,1,
7,0,921,1,
7,0,952,1,
7,0,985,1,
7,0,1018,1,
7,0,1052,1,
7,0,1086,1,
7,0,1119,1,
7,0,1153,1,
7,0,1187,1,
7,0,1221,1,
7,0,1253,1,
8,0,0,0,
8,1,33,0,
8,1,67,0,
8,1,96,0,
8,1,130,0,
8,1,161,0,
8,1,187,0,
8,1,218,0,
8,1,249,0,
8,0,276,0,
8,1,307,0,
8,0,335,0,
8,1,366,0,
8,1,399,0,
8,1,432,0,
8,1,465,0,
8,1,499,0,
8,1,532,0,
8,0,559,1,
8,1,588,0,
8,0,622,1,
8,1,651,0,
8,1,683,0,
8,1,715,0,
8,0,749,1,
8,0,782,0,
8,1,816,0,
8,1,850,0,
8,1,883,0,
8,1,917,0,
8,0,951,1,
8,0,984,1,
8,0,1019,1,
8,0,1051,1,
8,0,1084,1,
8,0,1117,1,
8,0,1152,1,
8,0,1193,1,
8,0,1223,1,
8,0,1251,1,
8,0,1284,1,
8,0,1318,1,
8,0,1346,1,
8,0,1385,1,
8,0,1418,1,
10,1,0,0,
10,0,32,1,
10,0,59,0,
10,1,90,0,
10,1,116,0,
10,1,149,0,
10,1,182,0,
10,1,215,0,
10,1,241,0,
10,0,282,0,
10,1,315,0,
10,1,348,0,
10,1,381,0,
10,0,415,1,
10,0,448,0,
10,0,482,0,
10,0,516,0,
10,0,549,1,
10,0,582,1,
10,0,615,1,
10,0,648,1,
10,0,676,1,
10,0,705,1,
10,0,736,1,
10,0,768,1,
10,0,801,1,
10,0,831,1,
10,0,865,1,
10,0,899,1,
10,0,932,1,
10,0,964,1,
10,0,998,1,
10,0,1026,1,
10,0,1058,1,
10,0,1092,1,
11,0,0,1,
11,0,31,1,
11,0,62,1,
11,0,95,1,
11,1,128,0,
11,1,162,0,
11,0,190,1,
11,1,217,0,
11,1,249,0,
11,0,281,1,
11,0,312,0,
11,0,346,1,
11,0,379,1,
11,0,413,1,
11,1,447,0,
11,0,473,1,
11,1,502,0,
11,0,536,1,
11,0,568,0,
11,0,601,0,
11,0,632,0,
11,0,664,0,
11,0,697,1,
11,0,729,1,
11,0,762,0,
11,0,796,1,
11,0,823,1,
11,0,854,1,
11,0,886,1,
11,0,915,1,
11,0,945,1,
11,0,978,1,
11,0,1011,1,
11,0,1044,1,
11,0,1080,1,
11,0,1113,1,
11,0,1145,1,
11,0,1177,1,
11,0,1210,1,
11,0,1236,1,
11,0,1269,1,
11,0,1300,1,
11,1,1335,0,
11,1,1369,0,
11,1,1403,0,
11,1,1444,0,
11,0,1480,0,
11,1,1510,0,
11,1,1537,0,
11,1,1570,0,
11,0,1601,0,
11,0,1633,1,
11,0,1661,0,
11,0,1688,1,
11,1,1719,0,
11,1,1750,0,
11,1,1783,0,
11,1,1814,0,
11,1,1845,0,
11,0,1881,1,
11,0,1915,1,
11,0,1962,1,
11,0,2007,0,
11,0,2049,0,
11,0,2088,0,
11,0,2124,1,
11,0,2166,0,
11,1,2204,0,
11,1,2236,0,
11,0,2267,1,
11,0,2299,1,
11,0,2332,1,
11,0,2362,1,
11,0,2391,1,
11,0,2419,1,
11,0,2452,1,
11,0,2483,1,
11,0,2513,1,
11,0,2546,1,
11,0,2580,1,
11,0,2613,1,
11,0,2646,1,
11,0,2680,1,
11,0,2707,1,
11,0,2738,1,
11,0,2770,1,
11,0,2799,1,
11,0,2830,1,
11,0,2863,1,
11,0,2897,1,
11,0,2931,1,
11,0,2958,1,
11,0,2990,1,
11,0,3021,1,
11,0,3053,1,
11,0,3080,1,
11,0,3113,1,
11,0,3146,1,
11,0,3184,1,
11,0,3214,1,
11,0,3248,1,
11,0,3281,1,
11,1,3314,0,
11,1,3348,0,
11,1,3381,0,
11,1,3415,0,
12,1,0,0,
12,1,31,0,
12,1,64,0,
12,1,91,0,
12,1,125,0,
12,1,152,0,
12,1,184,0,
12,1,215,0,
12,1,249,0,
12,1,283,0,
12,1,315,0,
12,1,348,0,
12,1,382,0,
12,1,417,0,
12,0,449,0,
12,0,482,1,
12,0,516,1,
12,0,549,1,
12,0,582,1,
12,0,615,1,
12,0,649,1,
12,1,683,0,
12,1,716,0,
12,1,750,0,
12,1,784,0,
12,1,817,0,
12,0,852,0,
12,0,889,0,
13,0,0,0,
13,0,29,0,
13,1,61,0,
13,1,90,0,
13,1,120,0,
13,1,151,0,
13,1,184,0,
13,0,217,1,
13,0,250,1,
13,0,283,1,
13,1,317,0,
13,0,351,1,
13,0,379,0,
13,0,412,1,
13,1,444,0,
13,0,476,1,
13,0,510,1,
13,0,542,1,
13,0,578,1,
13,0,611,1,
13,0,640,1,
13,0,672,1,
13,0,704,1,
13,0,735,1,
13,0,770,1,
13,0,802,1,
13,0,835,1,
13,0,868,1,
13,0,902,1,
13,0,935,1,
13,0,963,1,
13,0,995,1,
13,0,1029,1,
14,1,0,0,
14,1,31,0,
14,1,62,0,
14,1,95,0,
14,1,129,0,
14,1,162,0,
14,1,196,0,
14,1,231,0,
14,1,262,0,
14,1,296,0,
14,1,329,0,
14,1,363,0,
14,1,396,0,
14,1,429,0,
14,1,462,0,
14,1,495,0,
14,1,529,0,
14,1,562,0,
14,1,595,0,
14,1,628,0,
14,1,662,0,
14,1,695,0,
14,1,728,0,
14,1,762,0,
14,1,795,0,
14,1,828,0,
14,1,861,0,
14,1,895,0,
14,1,928,0,
14,1,961,0,
14,1,994,0,
14,1,1029,0,
14,1,1061,0,
14,1,1095,0,
14,1,1128,0,
14,1,1161,0,
14,1,1195,0,
14,1,1229,0,
14,0,1261,0,
14,0,1295,0,
14,1,1329,0,
14,0,1362,0,
14,1,1398,0,
14,1,1431,0,
14,1,1462,0,
14,1,1497,0,
14,1,1529,0,
14,1,1563,0,
14,1,1597,0,
14,1,1631,0,
14,1,1663,0,
14,1,1696,0,
14,0,1730,1,
14,0,1763,1,
14,0,1796,1,
14,0,1830,1,
14,0,1862,1,
14,0,1896,1,
14,0,1929,1,
14,0,1962,1,
14,1,1996,0,
14,0,2029,0,
14,1,2062,0,
14,0,2096,0,
14,1,2131,0,
14,0,2163,0,
14,1,2197,0,
14,0,2230,0,
14,1,2264,0,
14,0,2297,1,
14,0,2331,1,
14,0,2365,1,
14,0,2398,1,
14,0,2431,1,
14,0,2464,1,
14,0,2498,1,
14,0,2532,1,
14,0,2566,1,
14,0,2599,1,
14,0,2634,1,
15,0,0,1,
15,0,35,1,
15,0,67,1,
15,0,101,1,
15,0,134,1,
15,0,170,1,
15,0,201,1,
15,0,235,1,
15,0,263,1,
15,0,296,1,
15,0,329,1,
15,0,360,1,
15,0,388,1,
15,0,419,1,
15,1,452,0,
15,1,485,0,
15,1,513,0,
15,1,546,0,
15,1,578,0,
15,1,609,0,
15,1,640,0,
15,1,671,0,
15,1,703,0,
15,1,736,0,
15,1,763,0,
15,1,796,0,
