results_time,MD5,Controller,item_order,inner,label,latin_group,PennElementType,PennElementName,Parameter,Value,EventTime,prolific_id,Comments,extra_0,extra_1,extra_2,extra_3,extra_4,extra_5,extra_6,extra_7,extra_8,results_timestamp,participant_id,group,no,item,condition,counterbalancing,left,right
1758196352,185b2707d3f2edd80bf4191a533f537d,PennController,0,0,welcome,NULL,PennController,0,_Trial_,Start,1758195398108,prolific_id,NULL,,,,,,,,,,2025-09-18 11:52:32,Shift,,,,,,,
1758196352,185b2707d3f2edd80bf4191a533f537d,PennController,0,0,welcome,NULL,PennController,0,_Header_,Start,1758195398108,prolific_id,NULL,,,,,,,,,,2025-09-18 11:52:32,Shift,,,,,,,
1758196352,185b2707d3f2edd80bf4191a533f537d,PennController,0,0,welcome,NULL,PennController,0,_Header_,End,1758195398109,prolific_id,NULL,,,,,,,,,,2025-09-18 11:52:32,Shift,,,,,,,
1758196352,185b2707d3f2edd80bf4191a533f537d,PennController,0,0,welcome,NULL,Html,consent_form,,checked,1758195402507,prolific_id,checkbox,,,,,,,,,,2025-09-18 11:52:32,Shift,,,,,,,
1758196352,185b2707d3f2edd80bf4191a533f537d,PennController,0,0,welcome,NULL,PennController,0,_Trial_,End,1758195402507,prolific_id,NULL,,,,,,,,,,2025-09-18 11:52:32,Shift,,,,,,,
1758196456,185b2707d3f2edd80bf4191a533f537d,PennController,0,0,welcome,NULL,PennController,0,_Trial_,Start,1758196452278,prolific_id,NULL,,,,,,,,,,2025-09-18 11:54:16,Shift,,,,,,,
1758196456,185b2707d3f2edd80bf4191a533f537d,PennController,0,0,welcome,NULL,PennController,0,_Header_,Start,1758196452278,prolific_id,NULL,,,,,,,,,,2025-09-18 11:54:16,Shift,,,,,,,
1758196456,185b2707d3f2edd80bf4191a533f537d,PennController,0,0,welcome,NULL,PennController,0,_Header_,End,1758196452278,prolific_id,NULL,,,,,,,,,,2025-09-18 11:54:16,Shift,,,,,,,
1758196456,185b2707d3f2edd80bf4191a533f537d,PennController,0,0,welcome,NULL,Html,consent_form,,unchecked,1758196457436,prolific_id,checkbox,,,,,,,,,,2025-09-18 11:54:16,Shift,,,,,,,
1758196456,185b2707d3f2edd80bf4191a533f537d,PennController,0,0,welcome,NULL,PennController,0,_Trial_,End,1758196457436,prolific_id,NULL,,,,,,,,,,2025-09-18 11:54:16,Shift,,,,,,,
1758196665,185b2707d3f2edd80bf4191a533f537d,PennController,0,0,welcome,NULL,PennController,0,_Trial_,Start,1758196655738,prolific_id,NULL,,,,,,,,,,2025-09-18 11:57:45,Shift,,,,,,,
1758196665,185b2707d3f2edd80bf4191a533f537d,PennController,0,0,welcome,NULL,PennController,0,_Header_,Start,1758196655738,prolific_id,NULL,,,,,,,,,,2025-09-18 11:57:45,Shift,,,,,,,
1758196665,185b2707d3f2edd80bf4191a533f537d,PennController,0,0,welcome,NULL,PennController,0,_Header_,End,1758196655738,prolific_id,NULL,,,,,,,,,,2025-09-18 11:57:45,Shift,,,,,,,
1758196665,185b2707d3f2edd80bf4191a533f537d,PennController,0,0,welcome,NULL,Html,consent_form,,checked,1758196660137,prolific_id,checkbox,,,,,,,,,,2025-09-18 11:57:45,Shift,,,,,,,
1758196665,185b2707d3f2edd80bf4191a533f537d,PennController,0,0,welcome,NULL,PennController,0,_Trial_,End,1758196660137,prolific_id,NULL,,,,,,,,,,2025-09-18 11:57:45,Shift,,,,,,,
1758196352,185b2707d3f2edd80bf4191a533f537d,PennController,1,0,calibration,NULL,PennController,1,_Trial_,Start,1758195402515,prolific_id,NULL,,,,,,,,,,2025-09-18 11:52:32,Shift,,,,,,,
1758196352,185b2707d3f2edd80bf4191a533f537d,PennController,1,0,calibration,NULL,PennController,1,_Header_,Start,1758195402515,prolific_id,NULL,,,,,,,,,,2025-09-18 11:52:32,Shift,,,,,,,
1758196352,185b2707d3f2edd80bf4191a533f537d,PennController,1,0,calibration,NULL,PennController,1,_Header_,End,1758195402515,prolific_id,NULL,,,,,,,,,,2025-09-18 11:52:32,Shift,,,,,,,
1758196352,185b2707d3f2edd80bf4191a533f537d,PennController,1,0,calibration,NULL,EyeTracker,tracker,calibration,65,1758195454252,prolific_id,NULL,,,,,,,,,,2025-09-18 11:52:32,Shift,,,,,,,
1758196352,185b2707d3f2edd80bf4191a533f537d,PennController,1,0,calibration,NULL,PennController,1,_Trial_,End,1758195456432,prolific_id,NULL,,,,,,,,,,2025-09-18 11:52:32,Shift,,,,,,,
1758196456,185b2707d3f2edd80bf4191a533f537d,PennController,1,0,calibration,NULL,PennController,1,_Trial_,Start,1758196457446,prolific_id,NULL,,,,,,,,,,2025-09-18 11:54:16,Shift,,,,,,,
