results_time,participant_id,group,trial,label,no,item,exp,condition,cb,left,right,target,r1,r2,r3,r4,r5,r6,r7,question_rt,choice_rt,choice,mismatch,chosen_type,dominant,prop_left,prop_right,total_dwell,dwell_left,dwell_right,fixations_left,fixations_right,fixation_total,revisits_left,revisits_right,revisits_total,transitions,ffd,ffl
2025-10-08 11:45:02,59679c319febf80001d53655,a,36,experiment,1,1,1,exclusive,n,1a,1b,1a,559.0,532.0,556.0,696.0,584.0,756.0,906.0,,745.0,left,False,A,left,0.626,0.374,0.645,0.404,0.241,2.0,1.0,3.0,1.0,0.0,1.0,2.0,0.207,left
2025-10-08 11:45:02,59679c319febf80001d53655,a,50,experiment,6,2,1,contrastive,y,2b,2a,2b,467.0,544.0,588.0,586.0,466.0,589.0,819.0,,1456.0,left,False,B,left,1.0,0.0,0.535,0.535,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.535,left
2025-10-08 11:45:02,59679c319febf80001d53655,a,18,experiment,8,3,1,focus,y,3b,3a,,741.0,1083.0,963.0,1085.0,1014.0,1345.0,1202.0,,2035.0,right,False,A,left,1.0,0.0,0.607,0.607,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.607,left
2025-10-08 11:45:02,59679c319febf80001d53655,a,43,experiment,10,4,1,exclusive,y,4b,4a,4a,548.0,697.0,574.0,559.0,585.0,620.0,641.0,,1028.0,right,False,A,,,,,,,,,,,,,,,
2025-10-08 11:45:02,59679c319febf80001d53655,a,10,experiment,15,5,1,contrastive,n,5a,5b,5b,1239.0,947.0,1051.0,762.0,845.0,943.0,1159.0,,2306.0,left,True,A,left,0.543,0.457,1.453,0.789,0.664,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.664,right
2025-10-08 11:45:02,59679c319febf80001d53655,a,13,experiment,17,6,1,focus,n,6a,6b,,636.0,745.0,770.0,780.0,787.0,949.0,1263.0,,1010.0,left,False,A,left,0.733,0.267,0.93,0.682,0.248,2.0,1.0,3.0,1.0,0.0,1.0,2.0,0.24,left
2025-10-08 11:45:02,59679c319febf80001d53655,a,49,experiment,19,7,1,exclusive,n,7a,7b,7a,548.0,604.0,524.0,521.0,575.0,678.0,510.0,,831.0,left,False,A,left,0.822,0.178,0.809,0.665,0.144,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.144,right
2025-10-08 11:45:02,59679c319febf80001d53655,a,47,experiment,24,8,1,contrastive,y,8b,8a,8b,540.0,578.0,557.0,596.0,520.0,700.0,652.0,,564.0,right,True,A,,,,,,,,,,,,,,,
2025-10-08 11:45:02,59679c319febf80001d53655,a,35,experiment,26,9,1,focus,y,9b,9a,,634.0,553.0,536.0,623.0,551.0,706.0,820.0,,989.0,right,False,A,right,0.17,0.83,0.906,0.154,0.752,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.154,left
2025-10-08 11:45:02,59679c319febf80001d53655,a,45,experiment,28,10,1,exclusive,y,10b,10a,10a,653.0,578.0,593.0,603.0,508.0,715.0,677.0,,807.0,right,False,A,right,0.0,1.0,0.637,0.0,0.637,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.637,right
2025-10-08 11:45:02,59679c319febf80001d53655,a,42,experiment,33,11,1,contrastive,n,11a,11b,11b,625.0,566.0,725.0,602.0,681.0,816.0,744.0,,995.0,left,True,A,left,0.785,0.215,0.975,0.765,0.21,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.21,right
2025-10-08 11:45:02,59679c319febf80001d53655,a,27,experiment,35,12,1,focus,n,12a,12b,,533.0,667.0,551.0,765.0,786.0,894.0,866.0,,1193.0,left,False,A,right,0.424,0.576,1.227,0.52,0.707,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.707,right
