trial,_right_canvas_practice,times,_left_canvas_practice,_left_canvas,_right_canvas,
9,0,0,1,,,
9,0,39,1,,,
9,0,82,1,,,
9,0,128,1,,,
9,0,172,1,,,
9,0,217,0,,,
9,0,254,1,,,
9,0,292,0,,,
9,0,335,1,,,
9,0,378,1,,,
9,0,422,1,,,
9,0,463,1,,,
9,0,501,1,,,
9,0,545,1,,,
9,0,587,1,,,
9,0,622,1,,,
9,0,665,1,,,
9,0,704,0,,,
9,0,750,1,,,
9,0,789,0,,,
9,0,845,0,,,
9,0,874,0,,,
9,0,912,0,,,
9,0,957,0,,,
9,0,997,1,,,
9,0,1038,1,,,
9,0,1084,0,,,
9,0,1121,1,,,
9,0,1160,1,,,
9,0,1206,1,,,
9,0,1248,1,,,
9,0,1293,1,,,
9,0,1338,1,,,
9,0,1381,1,,,
9,0,1426,1,,,
9,0,1465,1,,,
9,0,1504,0,,,
9,0,1539,0,,,
9,1,1570,0,,,
9,0,1604,0,,,
9,0,1640,0,,,
9,0,1685,0,,,
9,0,1729,1,,,
9,0,1773,0,,,
9,1,1808,0,,,
9,1,1850,0,,,
9,0,1891,0,,,
9,0,1931,0,,,
9,1,1972,0,,,
9,0,2014,0,,,
9,1,2053,0,,,
9,1,2095,0,,,
9,1,2132,0,,,
9,0,2175,0,,,
9,0,2208,1,,,
9,0,2244,1,,,
9,0,2287,1,,,
9,0,2324,1,,,
9,0,2364,1,,,
9,0,2404,1,,,
9,0,2446,1,,,
9,0,2484,1,,,
9,0,2513,1,,,
9,0,2556,0,,,
9,0,2591,1,,,
9,0,2632,1,,,
9,0,2673,1,,,
9,0,2718,1,,,
9,0,2760,0,,,
9,0,2799,1,,,
9,0,2835,1,,,
9,0,2874,1,,,
10,0,0,1,,,
10,0,35,1,,,
10,0,78,1,,,
10,0,127,1,,,
10,0,171,1,,,
10,0,215,1,,,
10,0,259,1,,,
10,0,295,1,,,
10,0,336,1,,,
10,0,376,1,,,
10,0,424,1,,,
10,0,466,0,,,
10,0,510,1,,,
10,1,554,0,,,
10,0,598,1,,,
10,0,649,1,,,
10,0,693,1,,,
10,0,737,1,,,
10,0,775,1,,,
10,0,817,1,,,
10,0,855,1,,,
10,0,898,0,,,
10,0,934,1,,,
10,0,971,1,,,
10,0,1001,1,,,
10,1,1033,0,,,
10,0,1067,1,,,
10,0,1103,1,,,
10,0,1140,0,,,
10,0,1180,0,,,
10,0,1221,0,,,
10,1,1255,0,,,
10,0,1293,1,,,
10,1,1335,0,,,
10,1,1369,0,,,
10,1,1411,0,,,
10,0,1449,0,,,
10,0,1486,0,,,
10,0,1529,1,,,
10,0,1577,1,,,
10,0,1615,1,,,
10,0,1658,1,,,
10,0,1689,1,,,
10,0,1721,1,,,
10,0,1759,1,,,
10,0,1810,0,,,
10,0,1856,0,,,
10,0,1899,0,,,
10,0,1944,1,,,
10,0,1994,1,,,
10,1,2039,0,,,
10,0,2085,1,,,
10,0,2123,1,,,
10,0,2164,1,,,
10,0,2216,0,,,
10,0,2254,0,,,
10,0,2299,1,,,
10,0,2340,1,,,
10,0,2386,1,,,
10,0,2430,0,,,
10,0,2480,1,,,
10,0,2523,1,,,
10,0,2568,1,,,
10,0,2606,1,,,
10,0,2642,1,,,
10,0,2684,1,,,
10,0,2719,1,,,
10,0,2757,1,,,
10,0,2797,1,,,
10,0,2837,0,,,
10,0,2875,1,,,
10,0,2922,1,,,
10,1,2959,0,,,
10,1,3003,0,,,
10,0,3037,0,,,
10,1,3072,0,,,
10,1,3116,0,,,
10,1,3162,0,,,
10,0,3205,1,,,
10,1,3244,0,,,
10,0,3289,1,,,
10,1,3339,0,,,
10,1,3375,0,,,
10,1,3410,0,,,
10,1,3448,0,,,
10,1,3487,0,,,
10,1,3530,0,,,
10,1,3579,0,,,
10,1,3622,0,,,
10,1,3660,0,,,
10,1,3709,0,,,
11,1,0,0,,,
11,0,40,0,,,
11,1,82,0,,,
11,1,120,0,,,
11,1,159,0,,,
11,0,200,0,,,
11,0,239,0,,,
11,0,278,1,,,
11,0,328,0,,,
11,1,370,0,,,
11,0,414,0,,,
11,0,451,1,,,
11,1,490,0,,,
11,0,527,0,,,
11,1,562,0,,,
11,0,595,1,,,
11,0,633,1,,,
11,1,676,0,,,
11,0,723,0,,,
11,0,757,1,,,
11,0,789,1,,,
11,0,824,1,,,
11,0,868,1,,,
11,0,915,1,,,
11,0,953,1,,,
11,0,996,1,,,
11,1,1032,0,,,
11,1,1066,0,,,
11,1,1110,0,,,
11,0,1155,1,,,
11,1,1191,0,,,
11,1,1235,0,,,
11,1,1278,0,,,
11,1,1314,0,,,
11,0,1349,0,,,
11,0,1377,0,,,
11,0,1414,1,,,
11,1,1459,0,,,
11,0,1498,1,,,
11,0,1541,1,,,
11,0,1580,1,,,
11,0,1626,1,,,
11,0,1673,1,,,
11,0,1717,1,,,
11,0,1752,0,,,
11,0,1798,1,,,
11,1,1831,0,,,
11,0,1871,0,,,
11,1,1911,0,,,
11,0,1952,1,,,
11,0,1984,1,,,
11,0,2020,1,,,
11,0,2056,1,,,
11,0,2107,1,,,
11,0,2153,1,,,
11,0,2196,0,,,
11,0,2247,0,,,
11,0,2283,1,,,
11,0,2324,0,,,
11,0,2361,1,,,
11,0,2399,1,,,
11,0,2435,1,,,
11,0,2472,1,,,
11,0,2508,1,,,
11,0,2548,0,,,
11,0,2582,1,,,
11,0,2624,0,,,
11,0,2671,0,,,
11,0,2712,1,,,
11,0,2750,1,,,
11,0,2793,1,,,
11,0,2837,1,,,
11,0,2880,1,,,
11,0,2921,1,,,
11,0,2965,1,,,
11,0,3002,1,,,
11,0,3040,1,,,
11,0,3081,1,,,
11,0,3125,1,,,
11,0,3168,1,,,
11,0,3210,1,,,
11,1,3262,0,,,
11,0,3306,1,,,
11,0,3344,1,,,
11,0,3387,1,,,
11,0,3431,1,,,
11,1,3465,0,,,
11,0,3505,1,,,
11,0,3546,1,,,
11,1,3591,0,,,
11,1,3630,0,,,
11,0,3671,1,,,
11,0,3712,1,,,
11,0,3754,0,,,
11,0,3798,1,,,
11,0,3834,1,,,
11,0,3873,1,,,
11,0,3915,0,,,
11,0,3960,1,,,
23,,0,,0,0,
23,,46,,0,0,
23,,86,,1,0,
23,,127,,0,0,
23,,169,,0,0,
23,,212,,0,1,
23,,256,,0,0,
23,,300,,0,1,
23,,343,,1,0,
23,,383,,1,0,
23,,427,,0,0,
23,,473,,1,0,
23,,515,,0,1,
23,,553,,0,0,
23,,597,,0,1,
23,,642,,1,0,
23,,679,,1,0,
23,,724,,1,0,
23,,768,,1,0,
23,,812,,1,0,
23,,863,,0,0,
23,,904,,1,0,
23,,948,,1,0,
23,,990,,1,0,
23,,1034,,0,1,
23,,1078,,1,0,
23,,1125,,1,0,
23,,1170,,1,0,
23,,1213,,0,0,
23,,1260,,1,0,
23,,1301,,1,0,
23,,1340,,1,0,
23,,1384,,1,0,
23,,1424,,1,0,
23,,1464,,1,0,
23,,1509,,1,0,
23,,1551,,0,0,
23,,1590,,1,0,
23,,1633,,0,1,
