trial,times,_left_canvas,_right_canvas,Unnamed: 4
6,0,0,1,
6,23,0,0,
6,52,0,0,
6,76,1,0,
6,101,1,0,
6,125,0,0,
6,151,0,0,
6,174,0,0,
6,202,0,0,
6,235,0,1,
6,269,0,1,
6,293,0,0,
6,318,0,1,
6,341,0,0,
6,368,0,1,
6,392,1,0,
6,418,1,0,
6,452,1,0,
6,477,1,0,
6,503,1,0,
6,527,1,0,
6,553,1,0,
6,587,0,0,
6,612,1,0,
6,637,1,0,
6,660,1,0,
6,688,1,0,
6,713,1,0,
6,738,1,0,
6,764,1,0,
6,807,1,0,
6,839,1,0,
6,872,1,0,
6,898,0,0,
6,922,1,0,
6,948,1,0,
6,974,1,0,
6,1006,1,0,
6,1034,1,0,
7,0,0,1,
7,27,0,1,
7,55,0,1,
7,79,0,1,
7,107,0,0,
7,131,0,1,
7,156,0,1,
7,178,0,1,
7,204,0,1,
7,227,0,0,
7,254,0,0,
7,279,1,0,
7,303,1,0,
7,327,0,1,
7,355,0,1,
7,379,0,1,
7,404,0,1,
7,427,0,1,
7,454,0,1,
7,478,0,1,
7,506,0,1,
7,529,0,1,
7,553,0,1,
7,577,0,1,
7,604,0,1,
7,628,0,1,
7,655,0,1,
7,678,0,1,
7,705,0,1,
7,729,0,1,
7,755,0,1,
7,779,0,1,
7,805,0,1,
7,839,0,1,
7,863,0,1,
7,889,0,1,
7,914,0,1,
7,939,0,1,
7,964,0,1,
7,989,0,1,
7,1013,0,1,
7,1041,0,1,
7,1074,0,1,
7,1108,0,1,
7,1141,0,1,
7,1176,0,1,
7,1201,0,1,
7,1238,0,1,
7,1264,0,1,
7,1292,0,1,
7,1317,0,1,
7,1343,0,1,
7,1367,0,0,
7,1393,0,0,
7,1417,0,0,
7,1443,0,0,
7,1468,0,0,
7,1493,0,0,
7,1516,0,0,
7,1541,0,0,
7,1564,0,0,
7,1592,0,1,
7,1616,0,1,
7,1642,0,1,
7,1666,0,1,
7,1694,0,1,
7,1719,0,1,
7,1743,0,1,
7,1777,0,1,
7,1801,0,1,
8,0,0,1,
8,34,0,1,
8,59,0,1,
8,84,0,1,
8,109,0,1,
8,134,0,1,
8,158,0,1,
8,184,0,1,
8,208,0,1,
8,234,0,1,
8,258,0,1,
8,285,0,0,
8,310,1,0,
8,336,1,0,
8,361,0,0,
8,390,1,0,
8,419,0,0,
8,444,1,0,
8,468,1,0,
8,492,1,0,
8,520,1,0,
8,544,0,0,
8,568,0,0,
8,592,1,0,
8,618,0,0,
8,643,1,0,
8,669,1,0,
8,692,1,0,
8,718,1,0,
8,743,1,0,
8,769,1,0,
8,793,1,0,
8,818,1,0,
8,852,1,0,
8,875,1,0,
8,902,1,0,
8,925,1,0,
8,951,1,0,
8,985,1,0,
8,1010,1,0,
8,1035,1,0,
10,0,0,1,
10,26,0,1,
10,58,0,1,
10,83,0,1,
10,107,0,1,
10,132,0,0,
10,157,0,1,
10,182,0,1,
10,211,0,1,
10,242,0,1,
10,266,0,1,
10,295,0,1,
10,326,0,1,
10,350,0,1,
10,375,0,1,
10,405,0,1,
10,432,0,1,
10,459,0,1,
10,484,0,1,
10,511,0,1,
10,542,0,1,
10,568,0,1,
10,595,0,1,
10,619,0,1,
10,645,0,1,
10,668,0,1,
10,694,0,1,
10,719,0,1,
10,746,0,1,
10,776,0,1,
10,801,0,1,
10,827,0,1,
10,852,0,1,
10,877,0,1,
10,910,0,1,
10,946,0,1,
10,976,0,1,
10,1009,0,1,
11,0,1,0,
11,31,1,0,
11,67,1,0,
11,96,1,0,
11,120,0,1,
11,145,1,0,
11,170,1,0,
11,196,0,0,
11,221,0,0,
11,247,1,0,
11,271,0,0,
11,295,0,0,
11,320,0,0,
11,346,0,0,
11,370,1,0,
11,396,1,0,
11,420,0,0,
11,446,1,0,
11,471,0,0,
11,499,0,0,
11,530,0,0,
11,555,0,0,
11,580,0,0,
11,604,0,0,
11,629,1,0,
11,653,1,0,
11,679,0,0,
12,0,0,0,
12,24,1,0,
12,49,0,1,
12,73,1,0,
12,98,1,0,
12,121,1,0,
12,149,1,0,
12,172,1,0,
12,200,1,0,
12,224,1,0,
12,249,0,0,
12,272,0,0,
12,299,0,0,
12,323,0,0,
12,349,0,0,
12,373,0,0,
12,399,0,0,
12,422,1,0,
12,450,1,0,
12,474,0,0,
12,499,1,0,
12,527,0,0,
12,555,0,0,
12,584,1,0,
12,617,0,0,
12,640,1,0,
12,666,0,0,
12,699,1,0,
12,722,0,0,
12,749,0,0,
13,0,0,1,
13,33,0,0,
13,56,0,0,
13,84,0,1,
13,106,0,0,
13,133,0,1,
13,157,0,1,
13,182,0,1,
13,206,0,1,
13,232,0,1,
13,256,0,1,
13,283,0,1,
13,317,0,1,
13,350,0,1,
13,375,0,1,
13,399,0,1,
13,423,0,1,
13,449,0,1,
14,0,0,0,
14,27,0,0,
14,50,0,0,
14,73,1,0,
14,101,1,0,
14,125,1,0,
14,151,1,0,
14,174,0,1,
14,201,0,1,
14,224,0,1,
14,250,0,1,
14,274,1,0,
14,301,1,0,
14,324,1,0,
14,352,1,0,
14,377,1,0,
14,402,1,0,
14,426,1,0,
14,450,1,0,
14,475,1,0,
14,501,1,0,
14,525,1,0,
14,551,1,0,
14,576,1,0,
14,601,1,0,
14,624,1,0,
14,651,1,0,
14,674,1,0,
14,702,1,0,
14,724,1,0,
14,753,1,0,
14,775,1,0,
14,801,1,0,
14,823,1,0,
14,851,1,0,
14,874,1,0,
14,902,1,0,
14,936,1,0,
14,959,0,0,
14,985,0,0,
14,1019,0,0,
14,1043,0,0,
14,1069,1,0,
14,1094,1,0,
14,1119,1,0,
14,1154,1,0,
