trial,_right_canvas,_left_canvas,times,Unnamed: 4
6,1,0,0,
6,0,1,43,
6,1,0,89,
6,0,1,131,
6,0,1,198,
6,0,1,307,
6,1,0,363,
6,0,1,404,
6,0,1,449,
6,0,1,494,
6,0,1,538,
6,0,1,580,
6,0,1,621,
6,0,1,676,
6,0,1,744,
6,0,1,787,
6,0,1,834,
6,0,1,876,
6,0,1,943,
6,0,1,1001,
6,0,1,1049,
6,0,1,1091,
6,0,1,1133,
6,0,1,1188,
6,0,1,1231,
6,0,1,1279,
6,0,1,1335,
6,0,1,1379,
6,0,1,1440,
6,0,1,1505,
6,0,1,1551,
6,0,1,1613,
7,0,0,0,
7,0,1,42,
7,0,1,84,
7,0,1,153,
7,0,1,208,
7,0,1,251,
7,0,1,290,
7,0,1,337,
7,0,0,395,
7,0,0,456,
7,1,0,500,
7,0,1,560,
7,0,1,624,
7,0,1,667,
7,0,1,712,
7,0,1,771,
7,0,1,817,
7,1,0,878,
7,1,0,935,
7,0,0,1001,
7,1,0,1045,
7,1,0,1089,
7,1,0,1141,
7,0,0,1194,
7,1,0,1240,
7,1,0,1282,
7,1,0,1325,
7,0,0,1366,
7,0,0,1409,
7,1,0,1466,
7,0,0,1514,
7,0,0,1568,
7,0,0,1646,
8,0,1,0,
8,0,0,50,
8,0,0,107,
8,1,0,154,
8,0,1,196,
8,1,0,261,
8,0,1,300,
8,0,1,353,
8,0,1,394,
8,0,1,439,
8,0,1,484,
8,0,1,542,
8,0,1,588,
8,0,1,642,
8,0,1,697,
8,0,1,740,
8,0,1,789,
8,0,1,848,
8,0,1,893,
8,0,1,952,
8,0,1,1017,
8,0,1,1070,
8,0,1,1126,
8,0,1,1182,
8,0,1,1225,
8,0,1,1274,
8,0,1,1319,
8,0,1,1363,
8,0,1,1416,
10,1,0,0,
10,1,0,42,
10,1,0,101,
10,1,0,154,
10,1,0,198,
10,1,0,242,
10,1,0,302,
10,1,0,346,
10,0,0,416,
10,1,0,459,
10,1,0,503,
10,0,0,556,
10,0,0,611,
10,1,0,669,
10,0,0,714,
10,0,0,758,
10,0,0,819,
10,0,0,878,
10,0,0,931,
10,0,0,1010,
11,0,1,0,
11,0,1,73,
11,0,1,116,
11,0,1,160,
11,0,1,206,
11,0,1,249,
11,0,1,293,
11,0,1,358,
11,0,1,418,
11,0,1,474,
11,0,1,530,
12,1,0,0,
12,1,0,51,
12,1,0,96,
12,0,1,139,
12,0,0,182,
12,0,1,248,
